Celsius,404,501,201,101,102,103,104,105
_50,80.31,803.1,1032,,,,,
_45,82.29,822.9,1084,,,,,
_40,84.27,842.7,1135,,,50475,,
_35,86.25,862.5,1191,,,36405,,
_30,88.22,882.2,1246,,,26550,,
_25,90.19,901.9,1306,,26083,19560,,
_20,92.16,921.6,1366,,19414,14560,,
_15,94.12,941.2,1430,,14596,10943,,
_10,96.09,960.9,1493,,11066,8299,,
_5,98.04,980.4,1561,31389,8466,,,
0,100,1000,1628,23868,6536,,,
5,101.95,1019.5,1700,18299,5078,,,
10,103.9,1039,1771,14130,3986,,,
15,105.85,1058.5,1847,10998,,,,
20,107.79,1077.9,1922,8618,,,,
25,109.73,1097.3,2000,6800,,,15000,
30,111.67,1116.7,2080,5401,,,11933,
35,113.61,1136.1,2162,4317,,,9522,
40,115.54,1155.4,2244,3471,,,7657,
45,117.47,1174.7,2330,,,,6194,
50,119.4,1194,2415,,,,5039,
55,121.49,1214.9,2505,,,,4299,27475
60,123.24,1232.4,2595,,,,3756,22590
65,125.16,1251.6,2689,,,,,18668
70,127.07,1270.7,2782,,,,,15052
75,128.98,1289.8,2880,,,,,12932
80,130.89,1308.9,2977,,,,,10837
85,132.8,1328,3079,,,,,9121
90,134.7,1347,3180,,,,,7708
95,136.6,1366,3285,,,,,6539
100,138.5,1385,3390,,,,,
105,140.39,1403.9,,,,,,
110,142.29,1422.9,,,,,,
150,157.31,1573.1,,,,,,
200,175.84,1758.4,,,,,,
